Testing net 'mnist_relu_6_20' for epsilon 0.1
Testing image 0 ... FAILED in 2s
Testing image 1 ... FAILED in 1s
Testing image 2 ... FAILED in 2s
Testing image 3 ... FAILED in 2s
Testing image 4 ... FAILED in 2s
Testing image 5 ... FAILED in 2s
Testing image 6 ... FAILED in 1s
Testing image 7 ... FAILED in 2s
Testing image 8 ... FAILED in 0s
Testing image 9 ... FAILED in 1s
Testing image 10 ... FAILED in 2s
Testing image 11 ... FAILED in 2s
Testing image 12 ... FAILED in 1s
Testing image 13 ... FAILED in 2s
Testing image 14 ... FAILED in 1s
Testing image 15 ... FAILED in 2s
Testing image 16 ... FAILED in 2s
Testing image 17 ... FAILED in 1s
Testing image 18 ... FAILED in 2s
Testing image 19 ... FAILED in 2s
Testing image 20 ... FAILED in 1s
Testing image 21 ... FAILED in 2s
Testing image 22 ... FAILED in 2s
Testing image 23 ... FAILED in 2s
Testing image 24 ... FAILED in 1s
Testing image 25 ... FAILED in 2s
Testing image 26 ... FAILED in 1s
Testing image 27 ... FAILED in 2s
Testing image 28 ... FAILED in 2s
Testing image 29 ... FAILED in 1s
Testing image 30 ... FAILED in 2s
Testing image 31 ... FAILED in 2s
Testing image 32 ... FAILED in 1s
Testing image 33 ... FAILED in 1s
Testing image 34 ... FAILED in 1s
Testing image 35 ... FAILED in 2s
Testing image 36 ... FAILED in 2s
Testing image 37 ... FAILED in 1s
Testing image 38 ... FAILED in 1s
Testing image 39 ... FAILED in 1s
Testing image 40 ... FAILED in 2s
Testing image 41 ... FAILED in 2s
Testing image 42 ... FAILED in 2s
Testing image 43 ... FAILED in 1s
Testing image 44 ... FAILED in 2s
Testing image 45 ... FAILED in 2s
Testing image 46 ... FAILED in 2s
Testing image 47 ... FAILED in 2s
Testing image 48 ... FAILED in 1s
Testing image 49 ... FAILED in 2s
Testing image 50 ... FAILED in 1s
Testing image 51 ... FAILED in 2s
Testing image 52 ... FAILED in 2s
Testing image 53 ... FAILED in 2s
Testing image 54 ... FAILED in 2s
Testing image 55 ... FAILED in 1s
Testing image 56 ... FAILED in 2s
Testing image 57 ... FAILED in 2s
Testing image 58 ... FAILED in 1s
Testing image 59 ... FAILED in 2s
Testing image 60 ... FAILED in 2s
Testing image 61 ... FAILED in 1s
Testing image 62 ... FAILED in 2s
Testing image 63 ... FAILED in 1s
Testing image 64 ... FAILED in 2s
Testing image 65 ... FAILED in 2s
Testing image 66 ... FAILED in 2s
Testing image 67 ... FAILED in 1s
Testing image 68 ... FAILED in 2s
Testing image 69 ... FAILED in 1s
Testing image 70 ... FAILED in 2s
Testing image 71 ... FAILED in 1s
Testing image 72 ... FAILED in 2s
Testing image 73 ... FAILED in 0s
Testing image 74 ... FAILED in 1s
Testing image 75 ... FAILED in 2s
Testing image 76 ... FAILED in 2s
Testing image 77 ... FAILED in 0s
Testing image 78 ... FAILED in 2s
Testing image 79 ... FAILED in 1s
Testing image 80 ... FAILED in 2s
Testing image 81 ... FAILED in 2s
Testing image 82 ... FAILED in 1s
Testing image 83 ... FAILED in 2s
Testing image 84 ... FAILED in 1s
Testing image 85 ... FAILED in 2s
Testing image 86 ... FAILED in 1s
Testing image 87 ... FAILED in 0s
Testing image 88 ... FAILED in 2s
Testing image 89 ... FAILED in 2s
Testing image 90 ... FAILED in 1s
Testing image 91 ... FAILED in 2s
Testing image 92 ... FAILED in 1s
Testing image 93 ... FAILED in 2s
Testing image 94 ... FAILED in 1s
Testing image 95 ... FAILED in 2s
Testing image 96 ... FAILED in 2s
Testing image 97 ... FAILED in 1s
Testing image 98 ... FAILED in 2s
Testing image 99 ... FAILED in 2s
Total tests:  100
Passed tests: 0
Percentage:   0%
Total time:   157s
Time/test:    1.57s
